property_id,metro,city,state,zip,beds,baths,sqft,lot_size,age,closed_price,predicted_fair_price,fair_price_low_95,fair_price_high_95,max_offer_price,review_flag,CBSA,CBSA_NAME,Final_City_Score
349,Peoria,Pekin,IL,61554,3,2,1534,6534,138,83100,164120.6703,123090.5027,205150.8379,155914.6368,REVIEW_REQUIRED,37900,"Peoria, IL",0.595813122
350,Peoria,Peoria,IL,61607,3,2,2184,11600,80,195000,208974.1142,156730.5857,261217.6428,198525.4085,REVIEW_REQUIRED,37900,"Peoria, IL",0.595813122
351,Peoria,East Peoria,IL,61611,3,2.5,2753,46609,47,386000,435969.37,326977.0275,544961.7125,414170.9015,REVIEW_REQUIRED,37900,"Peoria, IL",0.595813122
352,Lima,Lima,OH,45801,3,2,2151,11600,25,350000,266220.7041,199665.5281,332775.8801,252909.6689,REVIEW_REQUIRED,30620,"Lima, OH",0.597627891
353,Lima,Lima,OH,45801,3,2,2151,11600,25,350000,268768.6881,201576.516,335960.8601,255330.2537,REVIEW_REQUIRED,47540,,0.597627891
354,Lima,Lima,OH,45805,3,1,1840,10019,112,62000,152187.4878,114140.6159,190234.3598,144578.1135,OK,30620,"Lima, OH",0.597627891
355,Lima,Lima,OH,45806,4,2.5,2646,12763,42,365000,356975.2453,267731.434,446219.0567,339126.4831,OK,30620,"Lima, OH",0.597627891
356,Lima,Lima,OH,45806,4,2.5,2646,12763,42,365000,359523.2293,269642.422,449404.0366,341547.0678,OK,47540,,0.597627891
357,Lima,Lima,OH,45807,3,2,1334,11600,27,269000,205590.1923,154192.6443,256987.7404,195310.6827,REVIEW_REQUIRED,99999,,0.597627891
358,Lima,Lima,OH,45807,3,2,1334,11600,27,269000,203042.2084,152281.6563,253802.7605,192890.098,REVIEW_REQUIRED,30620,"Lima, OH",0.597627891
359,Lima,Lima,OH,45806,2,1,1069,43560,76,65000,149873.2105,112404.9079,187341.5131,142379.55,REVIEW_REQUIRED,30620,"Lima, OH",0.597627891
360,Lima,Lima,OH,45806,2,1,1069,43560,76,65000,152421.1944,114315.8958,190526.493,144800.1347,REVIEW_REQUIRED,47540,,0.597627891
361,Lima,Lima,OH,45805,3,1.5,1040,11600,65,85000,133693.5786,100270.1839,167116.9732,127008.8997,REVIEW_REQUIRED,30620,"Lima, OH",0.597627891
362,Lima,Delphos,OH,45833,3,1.5,1483,26136,63,190000,196264.3147,147198.236,245330.3934,186451.099,OK,99999,,0.597627891
363,Lima,Delphos,OH,45833,3,1.5,1483,26136,63,190000,196264.3147,147198.236,245330.3934,186451.099,OK,46780,,0.597627891
364,Lima,Delphos,OH,45833,3,1.5,1483,26136,63,190000,193716.3308,145287.2481,242145.4135,184030.5142,OK,30620,"Lima, OH",0.597627891
365,Lima,Delphos,OH,45833,4,1,2048,11600,105,130000,190594.2898,142945.7174,238242.8623,181064.5753,OK,99999,,0.597627891
366,Lima,Delphos,OH,45833,4,1,2048,11600,105,130000,190594.2898,142945.7174,238242.8623,181064.5753,OK,46780,,0.597627891
